bugNode,fixNode,bugNode_fixNode,context,context_1
BooleanNode,NumbericNode,BooleanNode_NumbericNode,BooleanNode_NumbericNode&ARGUMENT,BooleanNode_NumbericNode
NumbericNode,ClassInstanceCreationNode,NumbericNode_ClassInstanceCreationNode,NumbericNode_ClassInstanceCreationNode&false&ARGUMENT,NumbericNode_ClassInstanceCreationNode&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
NumbericNode,BooleanNode,NumbericNode_BooleanNode,NumbericNode_BooleanNode&ARGUMENT,NumbericNode_BooleanNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
ClassInstanceCreationNode,MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode&true&ARGUMENT,ClassInstanceCreationNode_MethodInvocationStmNode&true
InfixExpressionStmNode,BaseVariableNode,InfixExpressionStmNode_BaseVariableNode,InfixExpressionStmNode_BaseVariableNode&true&INFIX,InfixExpressionStmNode_BaseVariableNode&true
BaseVariableNode,InfixExpressionStmNode,BaseVariableNode_InfixExpressionStmNode,BaseVariableNode_InfixExpressionStmNode&INFIX,BaseVariableNode_InfixExpressionStmNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE2&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE2&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
ClassInstanceCreationNode,ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false&RIGHT_ASSIGNMENT,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
BooleanNode,NumbericNode,BooleanNode_NumbericNode,BooleanNode_NumbericNode&ARGUMENT,BooleanNode_NumbericNode
ClassInstanceCreationNode,ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&REMOVE1&false&RIGHT_ASSIGNMENT,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&REMOVE1&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&ADD1&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
BooleanNode,NumbericNode,BooleanNode_NumbericNode,BooleanNode_NumbericNode&ARGUMENT,BooleanNode_NumbericNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false&ARGUMENT,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false
StringNode,QualifiedNameNode,StringNode_QualifiedNameNode,StringNode_QualifiedNameNode&ARGUMENT,StringNode_QualifiedNameNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
ClassInstanceCreationNode,MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode&false&RIGHT_VAR_DECLARATION,ClassInstanceCreationNode_MethodInvocationStmNode&false
BooleanNode,BooleanNode,BooleanNode_BooleanNode,BooleanNode_BooleanNode&ARGUMENT,BooleanNode_BooleanNode
UndefinedNode,InfixExpressionStmNode,UndefinedNode_InfixExpressionStmNode,UndefinedNode_InfixExpressionStmNode&INFIX,UndefinedNode_InfixExpressionStmNode
UndefinedNode,InfixExpressionStmNode,UndefinedNode_InfixExpressionStmNode,UndefinedNode_InfixExpressionStmNode&INFIX,UndefinedNode_InfixExpressionStmNode
MethodInvocationStmNode,ClassInstanceCreationNode,MethodInvocationStmNode_ClassInstanceCreationNode,MethodInvocationStmNode_ClassInstanceCreationNode&false&RIGHT_VAR_DECLARATION,MethodInvocationStmNode_ClassInstanceCreationNode&false
MethodInvocationStmNode,BaseVariableNode,MethodInvocationStmNode_BaseVariableNode,MethodInvocationStmNode_BaseVariableNode&true&RIGHT_ASSIGNMENT,MethodInvocationStmNode_BaseVariableNode&true
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&true
ArrayCreationNode,MethodInvocationStmNode,ArrayCreationNode_MethodInvocationStmNode,ArrayCreationNode_MethodInvocationStmNode&true&ARGUMENT,ArrayCreationNode_MethodInvocationStmNode&true
ArrayInitializerNode,BaseVariableNode,ArrayInitializerNode_BaseVariableNode,ArrayInitializerNode_BaseVariableNode&true&ARGUMENT,ArrayInitializerNode_BaseVariableNode&true
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE1&false
MethodInvocationStmNode,IfStmNode,MethodInvocationStmNode_IfStmNode,MethodInvocationStmNode_IfStmNode&RIGHT_VAR_DECLARATION,MethodInvocationStmNode_IfStmNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
ClassInstanceCreationNode,QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode&ARGUMENT,ClassInstanceCreationNode_QualifiedNameNode
ClassInstanceCreationNode,MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode,ClassInstanceCreationNode_MethodInvocationStmNode&false&RIGHT_ASSIGNMENT,ClassInstanceCreationNode_MethodInvocationStmNode&false
OperatorNode,OperatorNode,OperatorNode_OperatorNode,OperatorNode_OperatorNode&INFIX,OperatorNode_OperatorNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
InfixExpressionStmNode,MethodInvocationStmNode,InfixExpressionStmNode_MethodInvocationStmNode,InfixExpressionStmNode_MethodInvocationStmNode&false&RIGHT_VAR_DECLARATION,InfixExpressionStmNode_MethodInvocationStmNode&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&ARGUMENT,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&CHANGE&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&CHANGE&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false&ARGUMENT,MethodCalledNode_MethodCalledNode&ChangeMethod&ChangeParam&CHANGE&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&REMOVE1&false
BaseVariableNode,InfixExpressionStmNode,BaseVariableNode_InfixExpressionStmNode,BaseVariableNode_InfixExpressionStmNode&ARGUMENT,BaseVariableNode_InfixExpressionStmNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false&NORMAL,MethodCalledNode_MethodCalledNode&ChangeMethod&SameParam&false
BooleanNode,NumbericNode,BooleanNode_NumbericNode,BooleanNode_NumbericNode&ARGUMENT,BooleanNode_NumbericNode
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
QualifiedNameNode,QualifiedNameNode,QualifiedNameNode_QualifiedNameNode,QualifiedNameNode_QualifiedNameNode&ARGUMENT,QualifiedNameNode_QualifiedNameNode
ClassInstanceCreationNode,ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&CHANGE&false&RIGHT_ASSIGNMENT,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&CHANGE&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&ADD1&false
ClassInstanceCreationNode,QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode&RIGHT_VAR_DECLARATION,ClassInstanceCreationNode_QualifiedNameNode
ClassInstanceCreationNode,QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode,ClassInstanceCreationNode_QualifiedNameNode&RIGHT_VAR_DECLARATION,ClassInstanceCreationNode_QualifiedNameNode
ClassInstanceCreationNode,ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false&RIGHT_VAR_DECLARATION,ClassInstanceCreationNode_ClassInstanceCreationNode&SameMethod&ChangeParam&ADD1&false
MethodCalledNode,MethodCalledNode,MethodCalledNode_MethodCalledNode,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&CHANGE&false&NORMAL,MethodCalledNode_MethodCalledNode&SameMethod&ChangeParam&CHANGE&false
UndefinedNode,BaseVariableNode,UndefinedNode_BaseVariableNode,UndefinedNode_BaseVariableNode&true&ARGUMENT,UndefinedNode_BaseVariableNode&true
